file_path,file_name,authors,file_extension,file_size,file_date
./reports/2016 Assessment of Idahos Transportation Infrastructure and Fund.pdf,2016 Assessment of Idahos Transportation Infrastructure and Fund,"Test, N., Name, T., & Example, N.",pdf,   5.65M,2025-11-10T21:27:25Z
./reports/Ada County Highway District Public Opinion Survey 2022.pdf,Ada County Highway District Public Opinion Survey 2022,"Test, N., Name, T., & Example, N.",pdf,   5.08M,2025-11-10T21:23:06Z
./reports/Ada County Peer County Selection 2020.pdf,Ada County Peer County Selection 2020,"Test, N., Name, T., & Example, N.",pdf,   2.83M,2025-11-10T21:27:44Z
./reports/Advanced Opportunities Program Evaluation 2020.pdf,Advanced Opportunities Program Evaluation 2020,"Test, N., Name, T., & Example, N.",pdf,   2.07M,2025-11-10T21:27:14Z
./reports/Assessing the Impact of the Covid-19 Pandemic on Idahoans.pdf,Assessing the Impact of the Covid-19 Pandemic on Idahoans,"Test, N., Name, T., & Example, N.",pdf,   2.14M,2025-11-10T21:23:10Z
./reports/Balance Billing in Idaho 2019.pdf,Balance Billing in Idaho 2019,"Test, N., Name, T., & Example, N.",pdf,   1.3M,2025-11-10T21:37:09Z
./reports/Boise Pre-K Program Evaluation 2017.pdf,Boise Pre-K Program Evaluation 2017,"Test, N., Name, T., & Example, N.",pdf,   9.95M,2025-11-10T21:38:27Z
./reports/Boises Energy Future Survey_ Technical Report.pdf,Boises Energy Future Survey_ Technical Report,"Test, N., Name, T., & Example, N.",pdf,   2.46M,2025-11-10T21:37:12Z
./reports/City of Boise Peer Cities Selection 2020.pdf,City of Boise Peer Cities Selection 2020,"Test, N., Name, T., & Example, N.",pdf,   1.45M,2025-11-10T21:27:40Z
./reports/City of Boise Property Tax Analysis 2020.pdf,City of Boise Property Tax Analysis 2020,"Test, N., Name, T., & Example, N.",pdf,   2.65M,2025-11-10T21:27:29Z
./reports/College & Career Advising & Mentoring Program Evaluation 2019.pdf,College & Career Advising & Mentoring Program Evaluation 2019,"Test, N., Name, T., & Example, N.",pdf, 648.27K,2025-11-10T21:37:37Z
./reports/College & Career Advising & Mentoring Program Evaluation 2020.pdf,College & Career Advising & Mentoring Program Evaluation 2020,"Test, N., Name, T., & Example, N.",pdf, 897.14K,2025-11-10T21:28:05Z
./reports/Community Health Needs Assessment Baker County 2023.pdf,Community Health Needs Assessment Baker County 2023,"Test, N., Name, T., & Example, N.",pdf,  16.57M,2025-11-10T21:21:57Z
./reports/Community Health Needs Assessment Magic Valley Region 2023.pdf,Community Health Needs Assessment Magic Valley Region 2023,"Test, N., Name, T., & Example, N.",pdf,  12.53M,2025-11-10T21:22:01Z
./reports/Community Health Needs Assessment Malheur County 2023.pdf,Community Health Needs Assessment Malheur County 2023,"Test, N., Name, T., & Example, N.",pdf,  13.44M,2025-11-10T21:22:07Z
